,regions,coverage
0,141_407_251_441_72_148_376_85_460_314_577_294_278_395_490_374_443_178_476_539_229_174_94_486,59166
1,238_365_531_397_570_419_536_282_287_195_401_319_487_250_223_520_54_429_140_572_222_132_505_368,55358
2,396_508_363_184_404_512_330_497_133_438_522_129_419_94_226_199_188_371_118_63_481_107_505_575,58539
3,226_145_109_125_437_255_224_261_202_291_346_562_237_470_391_485_231_83_232_378_217_509_130_205,46273
4,319_94_322_444_251_241_388_301_475_435_197_285_308_229_314_497_342_135_365_501_175_407_148_61,59268
5,517_572_382_101_445_497_322_117_369_223_498_135_441_256_167_237_393_490_502_148_208_134_312_225,55650
6,396_72_443_431_216_210_323_416_446_342_22_70_369_121_186_286_288_294_385_467_501_285_256_428,56666
7,396_362_464_93_61_424_223_342_315_182_512_28_215_370_202_232_261_299_502_257_437_293_114_346,55718
8,83_247_182_445_196_129_418_288_298_374_382_539_495_282_429_117_441_504_199_458_437_387_461_346,49956
9,254_428_191_427_410_93_83_517_367_418_371_461_368_305_92_460_185_116_84_435_239_534_376_211,42086
10,477_236_168_378_235_83_247_130_322_460_443_107_286_232_435_313_230_116_233_342_520_427_234_226,51486
11,213_502_387_125_240_393_115_334_506_61_313_93_94_561_70_90_170_447_237_503_270_355_343_418,59831
12,158_255_443_279_174_85_103_432_517_477_355_358_390_294_197_133_382_505_229_508_253_149_178_475,48696
13,66_140_475_118_517_314_355_461_474_371_58_525_132_545_393_240_391_432_202_113_319_178_70_249,56148
14,334_365_195_212_22_117_298_94_471_211_138_245_531_418_253_366_434_376_372_308_145_217_135_106,44779
15,181_279_83_312_233_387_385_8_125_431_301_480_577_319_368_453_334_229_272_235_411_247_210_198,55120
16,253_561_117_331_371_79_248_540_301_191_251_124_84_259_361_423_492_218_383_295_477_180_99_305,46550
17,218_333_244_278_503_149_550_513_205_118_135_232_63_138_288_119_252_130_207_79_3_261_203_191,47127
18,358_94_241_270_343_236_429_461_251_122_170_8_140_418_103_423_220_28_434_182_123_398_305_109,41326
19,143_195_122_396_575_539_573_424_90_445_480_446_293_441_148_8_513_422_395_295_202_332_339_367,56125
20,143_374_136_506_28_334_480_442_234_220_319_562_470_73_226_491_285_478_295_453_333_443_108_487,59288
21,509_245_295_471_464_252_72_237_438_119_3_447_550_234_136_79_402_196_506_256_385_191_123_573,54465
22,492_433_104_232_424_188_481_454_540_63_258_123_182_202_148_370_170_103_512_272_303_333_149_115,52021
23,209_296_172_181_313_411_252_178_470_334_496_451_476_128_102_507_114_61_453_154_120_96_323_357,57129
24,203_218_224_550_136_134_221_313_138_229_184_437_415_133_372_118_496_563_295_250_504_97_247_305,47427
25,474_202_397_247_94_239_158_366_73_308_252_330_495_427_257_138_176_362_451_442_492_480_355_438,57185
26,339_238_149_308_432_402_192_70_43_397_508_503_293_504_545_415_486_410_370_333_207_467_382_143,63602
27,519_96_498_149_491_180_230_286_415_222_398_395_436_319_224_41_140_258_433_442_330_377_451_307,65428
28,230_152_391_497_355_461_453_520_97_475_114_185_388_257_282_238_202_536_196_140_132_468_510_466,49422
29,504_397_22_79_326_536_306_125_477_301_365_372_225_256_458_210_503_318_23_550_191_322_180_415,63939
30,289_132_138_561_428_577_141_212_431_23_342_454_188_129_171_376_520_382_218_315_307_418_197_287,53434
31,404_296_451_304_319_484_376_384_471_232_460_129_488_151_176_291_545_251_54_188_346_385_144_250,55538
32,115_454_396_94_8_539_108_123_536_476_436_509_370_438_311_389_575_298_331_128_451_90_433_252,52251
33,140_397_180_502_419_314_512_519_513_261_257_422_84_346_88_370_374_186_123_525_296_172_141_181,53700
34,138_573_122_295_447_367_311_388_191_435_536_402_54_393_123_467_550_66_8_192_416_308_383_424,52970
35,531_84_371_247_282_461_96_454_367_509_451_186_251_505_377_536_293_295_291_278_393_270_58_519,45746
36,226_365_468_230_436_330_148_130_106_451_467_575_519_97_244_117_84_319_121_235_114_374_370_140,47878
37,577_299_357_133_358_369_28_361_517_143_301_215_216_464_185_3_247_235_334_469_250_389_116_129,46254
38,118_232_519_561_115_279_343_505_491_503_303_407_342_169_478_311_466_474_341_272_177_410_363_484,59673
39,283_458_122_506_83_423_437_369_233_234_145_371_96_513_88_501_488_484_186_172_382_101_199_247,56993
40,61_304_481_212_202_232_72_561_398_397_447_285_314_498_122_129_218_501_343_197_130_217_404_362,54057
41,93_545_398_222_285_188_258_205_404_467_215_94_315_257_388_178_134_429_326_198_240_384_333_241,49549
42,475_88_191_322_391_224_261_230_145_485_103_213_92_270_184_104_461_225_342_374_93_433_358_108,51301
43,141_387_480_178_253_118_435_103_223_172_195_210_391_577_475_502_418_28_529_63_503_393_158_326,56069
44,191_312_209_382_83_341_234_446_130_210_92_148_369_101_395_116_135_270_355_459_340_504_540_61,47333
45,154_342_520_299_484_458_432_41_388_573_218_231_106_222_519_216_435_468_433_469_363_116_233_398,51151
46,339_374_438_85_506_152_138_531_407_469_474_113_346_129_357_415_513_431_217_106_361_230_315_209,50906
47,470_231_374_3_474_508_241_286_245_396_313_116_341_517_239_132_343_136_244_577_93_122_253_573,50842
48,490_304_55_177_505_432_295_378_540_43_257_258_477_278_433_436_285_367_122_372_128_215_333_107,47968
49,491_376_158_332_294_466_562_459_101_432_333_428_431_495_90_382_487_222_92_63_66_250_343_372,44154
50,136_330_198_536_311_93_355_485_61_129_304_223_247_202_216_149_477_534_218_366_229_117_424_245,38164
