,regions,coverage
0,366_452_301_192_303_172_109_507_488_466_391_216_169_202_307,41735
1,391_203_345_377_185_334_390_503_366_481_257_346_125_207_205,38143
2,484_241_431_442_109_561_519_390_346_216_209_444_322_506_168,56604
3,287_442_503_397_192_345_561_458_501_437_388_151_513_203_205,52975
4,416_445_288_203_205_305_314_397_322_303_287_377_384_466_172,42268
5,461_384_287_475_185_561_305_301_125_488_203_385_416_169_445,50948
6,519_192_490_388_475_452_402_315_131_314_288_466_389_312_366,49401
7,501_216_384_319_466_285_185_513_503_504_304_444_475_170_481,52307
8,458_529_172_550_216_396_424_203_492_202_519_502_283_452_307,49685
9,307_305_131_510_209_202_319_304_257_454_534_475_342_484_490,52461
10,199_288_416_185_391_402_444_424_216_467_168_202_475_207_388,34885
11,377_168_550_151_510_504_345_315_185_170_501_326_305_291_319,46741
12,488_490_550_241_304_207_389_257_444_287_475_510_481_342_169,50671
13,513_291_185_307_393_501_131_488_313_391_305_203_288_322_502,41533
14,437_172_475_395_322_401_507_431_529_184_393_442_391_503_402,48462
15,487_207_377_490_507_510_503_401_314_385_438_444_454_291_185,54463
