,regions,coverage
0,371_437_486_549_8_490_298_382_519_120_259_64_121_93_525_188_23_387_480_241,56755
1,435_233_92_418_22_272_385_422_73_452_451_90_230_387_205_191_94_529_416_172,41373
2,342_170_464_395_486_54_41_203_491_311_545_467_230_257_401_196_495_124_563_231,56856
3,285_286_495_509_404_478_103_254_186_203_41_506_221_70_502_185_491_503_545_517,50504
4,444_197_178_93_223_422_513_210_102_474_255_305_202_254_308_488_318_167_466_174,45015
5,378_259_119_508_23_477_8_464_525_138_254_114_468_385_209_396_341_128_235_213,42634
6,498_475_108_510_220_58_486_435_390_431_106_248_128_124_152_235_393_573_197_291,52562
7,447_198_117_135_525_478_404_529_476_191_305_287_490_536_115_218_171_192_296_121,44057
8,294_487_432_197_43_167_231_529_393_252_240_459_452_291_311_180_182_424_134_198,51905
9,286_503_141_144_73_372_250_479_438_169_362_367_442_213_490_441_312_145_66_531,46044
10,485_561_129_180_188_167_369_452_123_58_92_384_339_128_149_451_254_422_221_170,46836
11,570_391_506_378_41_326_254_358_345_113_322_484_382_210_384_202_357_145_422_247,53034
12,118_188_61_70_90_485_270_133_241_174_383_151_339_476_507_343_433_41_231_136,43878
13,443_303_109_286_487_436_504_299_469_72_384_322_125_107_248_288_397_148_70_306,53232
14,253_257_539_102_477_121_501_288_144_446_358_41_293_433_244_285_507_140_410_197,53424
15,55_295_572_185_498_401_397_432_371_418_270_488_272_469_550_251_93_172_534_298,55877
16,64_85_240_248_435_174_371_345_149_460_561_238_505_445_451_114_96_536_136_323,44010
17,109_97_289_419_167_509_432_506_192_221_488_177_502_339_226_331_259_429_389_372,44962
18,391_485_54_305_72_133_186_116_245_221_252_135_170_168_434_240_330_484_365_251,38751
19,205_254_252_72_505_303_415_475_70_341_135_418_502_54_259_88_390_411_431_407,48953
20,476_432_363_397_520_291_391_207_186_282_479_171_182_458_8_134_217_115_245_519,46309
21,134_124_148_438_332_372_464_88_116_501_102_369_363_519_244_180_118_525_404_115,45235
22,239_436_248_85_431_151_256_445_404_220_236_131_141_570_79_388_293_435_185_519,45125
23,322_479_372_197_470_278_131_423_255_185_198_570_182_311_244_374_459_134_169_285,40336
24,256_306_468_411_393_433_188_129_94_191_61_230_136_184_285_225_358_104_291_438,40414
25,393_212_125_334_485_540_8_195_103_121_477_209_570_330_207_291_401_529_534_101,48972
26,475_211_205_443_196_199_188_125_520_577_433_471_88_453_256_512_213_272_119_333,45760
27,130_313_307_132_196_295_475_195_209_358_331_181_199_232_85_289_508_233_429_192,41353
28,460_395_167_286_458_387_55_182_416_497_303_388_145_361_480_322_549_169_229_255,51187
29,490_488_109_197_519_54_383_361_233_278_184_427_64_254_343_255_144_8_322_508,50270
30,512_396_438_459_376_296_257_259_132_143_390_371_299_124_218_291_128_419_474_170,40324
31,247_508_575_332_318_124_486_106_175_307_79_61_362_291_72_503_498_244_378_70,43268
32,249_254_363_245_505_323_531_355_498_304_374_437_213_577_326_322_169_207_152_563,49756
33,99_371_427_343_282_135_433_121_138_41_367_451_106_104_107_244_176_168_79_288,42768
34,286_184_181_85_475_220_509_459_125_123_378_237_384_331_252_315_464_259_506_368,46779
35,438_99_287_282_484_208_422_124_391_226_384_128_70_486_177_480_529_113_308_198,49165
36,218_469_305_129_498_212_207_522_177_99_85_195_435_326_104_397_387_577_108_427,48653
37,288_411_385_410_79_145_207_192_460_249_213_358_282_226_279_258_202_550_259_247,36810
38,224_342_416_435_326_287_149_279_423_452_395_502_442_447_377_230_231_226_334_192,51950
39,83_534_495_427_252_186_315_114_539_176_451_322_362_259_85_334_572_497_423_93,52704
40,208_63_496_461_172_460_334_186_234_505_485_253_132_236_118_85_64_233_318_288,46359
41,230_295_369_64_368_396_90_419_513_466_491_487_442_376_387_436_313_429_378_357,49409
42,184_220_562_432_468_305_251_180_185_435_522_197_232_249_176_395_230_570_213_458,44449
43,458_124_130_322_216_295_481_445_510_303_492_539_404_466_475_485_131_92_250_148,54323
44,340_140_368_181_484_72_334_293_177_452_477_294_261_207_198_505_355_341_231_270,41903
45,376_185_237_345_141_131_361_291_199_497_346_362_396_103_419_128_125_251_433_378,37466
46,357_367_428_385_184_563_220_432_231_484_84_259_469_416_283_233_106_191_104_128,47829
47,503_422_366_106_367_231_23_128_486_497_79_433_286_478_355_434_431_495_429_66,45625
48,226_458_459_453_90_141_534_182_203_234_323_134_366_186_464_94_64_118_540_120,32539
49,101_122_244_282_66_341_397_429_253_471_370_92_109_295_520_138_145_459_415_367,42871
50,250_287_178_145_289_244_485_213_382_170_345_464_107_529_509_519_168_212_41_118,48157
