,regions,coverage
0,487_549_237_138_252_185_118_453_332_402_475_469_148_54_498_171_305_410_241_311_340_363_534,62972
1,132_282_70_540_287_230_303_94_181_235_115_508_332_512_355_195_114_340_229_520_369_108_446,47694
2,319_296_490_506_99_177_180_191_113_525_508_79_427_229_109_355_188_169_467_549_370_422_283,58899
3,504_385_402_124_319_415_301_453_237_135_211_427_178_438_239_361_306_520_391_261_340_445_397,55157
4,141_447_249_427_63_144_115_422_525_357_485_539_341_444_197_468_454_83_378_106_230_117_184,45771
5,410_377_218_191_123_151_474_510_205_424_306_487_140_437_376_176_371_149_496_477_372_261_259,52011
6,103_245_291_289_315_154_374_563_355_148_459_479_422_296_144_22_66_367_427_151_208_368_520,44192
7,279_313_61_505_205_286_308_152_223_454_471_401_370_248_314_497_513_502_363_326_477_340_536,61746
8,64_250_285_363_149_96_435_368_182_178_289_133_442_144_519_188_340_520_101_573_485_487_326,52682
9,435_562_358_447_180_438_428_418_401_123_54_372_536_391_279_283_485_93_323_230_85_460_476,54185
10,79_96_171_117_411_54_250_210_255_314_382_384_453_370_299_232_249_422_475_145_503_8_175,57715
11,573_61_255_177_58_382_244_497_346_563_113_422_502_304_295_202_333_517_234_186_485_272_487,48952
12,506_83_304_397_249_562_407_299_106_458_444_63_212_314_209_550_223_109_391_215_207_28_229,50847
13,55_451_140_222_474_427_369_343_152_188_229_376_362_570_85_306_506_322_223_28_282_501_388,56556
14,108_174_248_303_343_253_397_471_485_205_283_70_234_148_154_372_435_197_251_490_196_447_393,50799
15,119_143_244_475_479_178_283_63_441_109_8_496_488_506_22_218_248_145_461_476_148_396_180,52953
16,229_108_188_245_362_249_149_218_70_485_225_94_469_519_397_308_115_135_294_140_241_61_365,41612
17,419_422_570_216_534_423_171_312_169_512_198_398_531_487_132_192_259_308_460_387_453_136_376,54140
18,460_361_433_41_572_288_485_323_72_390_195_343_424_70_418_374_94_372_279_441_481_293_117,49747
19,221_205_331_507_429_123_393_341_370_314_525_195_510_498_90_79_388_318_490_503_402_253_368,61386
20,182_257_479_202_427_315_387_382_306_119_230_255_496_484_279_226_116_307_468_424_510_575_304,49961
21,192_63_283_169_540_331_355_207_177_195_79_136_279_301_175_374_416_220_502_469_575_357_151,50942
22,570_479_299_258_233_270_467_272_572_505_331_445_368_549_312_248_255_333_529_339_433_550_218,47410
23,134_90_374_186_168_313_192_58_411_415_282_119_561_486_550_152_391_125_257_445_301_229_64,52605
24,283_216_289_115_8_507_123_504_340_319_102_326_339_70_238_230_388_572_279_140_213_575_217,46431
25,212_171_185_382_129_508_85_235_464_540_124_469_475_107_307_390_438_332_507_343_378_84_94,53862
26,385_452_144_145_446_367_451_422_252_382_549_365_168_23_104_279_486_175_174_229_339_41_238,46161
27,401_85_238_256_452_572_357_114_257_88_298_459_128_99_251_239_287_55_398_70_223_461_133,38691
28,308_322_213_434_99_247_411_340_235_103_490_83_202_389_220_442_332_529_323_94_244_365_432,52220
29,304_460_487_197_531_250_343_299_222_181_154_411_224_23_315_136_387_513_332_151_467_357_550,57393
30,288_443_230_154_115_467_107_237_452_459_182_441_141_575_447_96_402_301_497_158_140_529_54,45253
31,304_476_196_203_212_432_469_549_402_261_365_102_152_122_334_504_119_460_107_477_134_143_404,52557
32,490_498_374_545_282_478_330_192_149_387_208_124_272_436_64_278_366_411_389_258_505_209_358,54938
33,109_261_389_132_54_61_218_178_395_486_470_550_79_129_313_296_390_286_369_411_355_103_342,52328
34,388_301_134_119_323_212_363_250_304_140_488_177_471_123_562_447_389_506_418_72_55_124_307,50304
35,322_308_103_438_382_480_306_401_119_241_520_96_207_196_362_447_446_339_431_109_184_318_144,48927
36,252_257_536_289_401_432_221_531_186_487_397_23_223_176_93_303_467_171_510_83_270_383_54,58585
37,363_118_3_61_342_88_361_241_355_66_540_385_99_365_550_123_102_390_211_288_121_215_188,38033
38,512_216_384_252_427_442_168_70_502_101_304_23_382_148_525_257_175_58_402_461_486_113_202,60192
39,374_536_424_313_212_393_107_129_418_433_357_209_196_407_341_402_138_70_118_410_217_240_333,50611
40,295_470_144_117_224_145_96_332_428_252_497_319_257_184_303_283_454_178_505_311_432_261_307,50059
41,446_279_285_226_343_478_303_121_550_171_61_196_305_295_312_253_389_158_245_120_410_63_84,45209
42,437_443_250_180_478_172_475_270_480_431_363_177_285_503_366_435_258_549_249_199_144_498_168,45049
43,422_196_238_299_330_249_411_391_167_117_491_103_415_407_531_492_226_367_402_70_272_466_477,52485
44,423_233_241_437_149_416_202_119_431_148_389_314_362_118_83_371_313_577_296_84_470_432_363,45092
45,361_434_550_218_342_390_306_323_368_458_88_216_519_395_357_220_531_536_502_61_415_391_154,58153
46,205_471_208_446_279_118_332_371_454_247_177_294_288_240_123_485_334_372_311_168_283_226_115,47859
47,503_497_254_232_441_376_444_550_43_236_540_487_248_340_326_330_218_197_96_397_402_467_476,58885
48,245_96_128_224_286_196_64_496_529_536_119_176_407_323_211_61_340_383_509_226_370_315_459,52578
49,495_28_397_446_198_181_245_248_355_513_286_258_114_130_99_333_278_94_291_225_203_208_575,46532
50,58_124_149_222_258_572_369_117_384_371_519_355_239_481_339_88_233_96_197_429_249_145_345,48407
