,regions,coverage
0,418_314_460_452_517_322_250_287_444_261_371_114_446_437_224_397_383_247_55_342_220,49146
1,506_295_424_287_252_140_109_345_305_92_231_319_458_249_115_343_382_259_172_517_188,45592
2,23_247_357_407_318_299_43_289_385_149_369_311_177_223_213_503_384_108_479_372_382,47718
3,79_446_123_431_94_444_203_458_54_387_395_513_90_259_120_334_222_171_122_481_182,41859
4,326_294_90_107_123_355_239_237_513_454_182_131_101_54_114_192_120_306_460_240_176,40360
5,85_101_289_272_208_377_445_407_427_446_251_436_226_240_278_230_287_452_468_222_431,32923
6,259_522_84_285_221_288_118_355_257_323_256_229_446_340_433_333_384_419_577_401_458,52237
7,334_314_222_501_171_345_55_437_476_129_522_130_529_298_490_119_90_79_106_486_203,57036
8,117_133_550_525_217_481_130_517_132_184_99_123_358_341_318_459_178_210_488_306_148,47511
9,138_437_416_312_115_248_305_369_223_293_295_562_28_143_513_475_132_422_170_61_236,48775
10,342_154_333_341_84_120_363_299_536_452_43_247_231_378_497_207_108_480_501_534_366,49357
11,432_135_464_534_192_423_513_22_244_498_312_85_496_442_188_502_148_562_235_307_272,55995
12,434_185_441_333_101_486_279_370_510_477_291_442_517_239_332_357_474_314_469_480_54,50004
13,332_561_128_103_168_415_562_459_539_254_388_550_22_129_118_299_85_391_158_247_171,45909
14,341_436_211_144_101_522_138_121_107_340_355_114_389_365_363_218_368_133_120_432_84,31739
15,55_128_291_213_376_517_28_438_99_73_308_326_306_305_119_198_453_152_459_519_233,48501
16,299_182_477_577_503_459_334_479_145_229_485_419_8_249_308_114_307_384_451_508_383,58588
17,570_332_63_149_295_342_192_374_261_485_505_384_208_175_185_225_402_340_92_363_419,46771
18,343_517_22_151_70_128_388_318_83_319_393_520_436_308_145_312_561_61_444_215_169,53438
19,168_167_433_253_407_467_398_491_43_313_315_223_319_443_454_115_357_452_288_258_99,53744
20,441_443_402_180_503_143_314_205_107_209_340_312_397_466_522_563_491_570_471_485_152,58420
21,118_234_334_295_507_70_345_3_490_207_341_464_474_103_230_158_107_453_323_285_418,52582
22,505_573_545_199_345_239_437_428_232_222_181_438_496_184_519_330_55_85_572_72_288,54618
23,99_402_209_125_178_118_431_445_154_385_305_261_308_404_299_313_502_182_218_458_235,50370
24,140_119_388_438_561_247_497_369_168_72_210_199_385_43_416_252_424_474_452_207_231,46744
25,295_299_323_229_432_519_97_217_466_175_258_342_383_490_122_239_469_119_496_286_508,51088
26,509_103_454_306_382_577_471_238_517_149_476_226_207_508_384_54_22_83_223_429_460,50095
27,437_498_85_209_244_117_196_178_233_427_175_298_438_522_124_61_121_443_575_199_182,41190
28,170_424_322_58_197_577_138_539_169_279_134_422_522_377_250_259_196_261_410_295_398,46383
29,221_451_313_122_522_149_433_296_251_304_198_184_212_140_411_384_96_358_428_446_202,46355
30,170_434_195_374_84_270_411_184_304_469_358_234_479_495_90_464_257_108_393_152_118,44374
31,479_248_410_369_477_389_442_495_563_123_459_488_401_203_346_319_249_451_510_299_358,54504
32,90_61_491_207_422_70_178_346_258_108_151_504_241_233_109_256_487_63_485_114_451,43874
33,249_368_402_66_148_22_343_454_378_424_452_428_144_240_99_382_433_372_102_282_442,39433
34,432_345_314_108_451_368_212_307_124_191_397_225_474_497_323_107_104_504_466_92_279,50985
35,454_478_202_441_188_185_326_134_55_443_141_382_563_209_254_245_298_43_58_170_93,45540
36,577_197_66_436_332_172_331_106_145_345_410_94_92_85_509_376_397_363_502_371_291,47575
37,308_396_550_478_148_314_498_209_469_464_502_239_184_278_312_318_119_294_178_129_254,53610
38,474_371_415_536_129_122_148_531_270_282_103_221_172_345_416_391_184_575_259_372_94,44910
39,570_235_141_223_466_490_229_453_322_63_234_361_512_443_134_471_396_438_128_507_573,52936
40,436_570_536_323_488_428_545_224_484_186_424_207_8_88_464_383_322_466_122_28_384,56495
41,415_374_446_148_480_196_365_333_358_192_64_343_185_477_63_369_213_385_484_3_84,41037
42,296_385_58_480_307_134_326_43_502_79_415_248_513_460_175_447_131_333_224_72_212,54244
43,222_539_120_174_188_134_252_305_301_411_410_171_507_501_437_397_390_342_458_216_508,54882
44,479_174_446_298_477_503_130_444_185_389_230_497_322_507_235_176_287_513_451_192_441,58308
45,424_372_124_199_23_223_437_172_572_363_429_230_217_504_125_169_94_130_55_331_149,45935
46,175_253_244_492_488_459_396_133_272_195_461_170_283_223_278_418_519_66_117_419_517,51210
47,446_423_474_114_427_116_497_90_185_501_459_362_213_237_481_208_122_251_550_41_442,47627
48,432_222_365_396_138_102_371_224_8_418_279_393_293_192_454_458_525_451_132_248_341,43453
49,198_3_429_570_185_250_192_99_172_149_469_63_561_291_436_171_464_460_507_124_210,45692
50,169_342_237_301_520_121_416_225_299_339_485_332_238_101_492_562_22_236_333_28_195,51194
