,regions,coverage
0,301_72_322_169_517_407_304_512_395_534_319_245_79_221_315_22_464_58_199_295_236_184,47117
1,169_435_357_230_432_319_175_286_505_97_562_213_315_510_211_178_83_104_188_575_341_253,49682
2,296_54_495_216_261_295_113_221_210_250_8_231_536_43_311_432_331_323_398_572_93_236,42060
3,540_294_94_396_55_184_101_422_28_205_393_282_103_92_134_307_216_272_435_410_303_215,41709
4,361_43_132_334_312_240_438_332_355_185_474_192_346_454_152_282_389_216_136_96_452_471,52352
5,113_180_411_93_169_41_496_416_372_217_497_444_294_79_253_367_291_232_230_134_307_522,41892
6,195_464_181_234_64_256_342_432_357_452_361_125_176_196_171_287_106_198_133_180_513_229,46041
7,212_278_255_175_563_431_145_186_369_305_498_459_334_213_177_178_113_301_308_510_519_395,57372
8,471_84_205_366_191_331_236_510_121_312_158_507_210_395_484_415_402_550_221_134_131_61,58210
9,540_505_211_285_388_306_208_217_444_106_199_332_83_254_182_369_220_563_313_378_471_212,47499
10,131_502_504_99_23_371_218_64_247_549_104_497_367_481_148_239_93_128_490_376_170_92,41628
11,231_486_135_479_539_223_436_270_318_41_175_140_326_213_431_129_117_468_250_251_346_222,47183
12,442_73_180_431_287_72_258_172_390_291_382_371_122_496_418_178_230_79_141_216_504_474,47528
13,563_312_479_223_229_122_318_135_504_248_575_175_240_534_85_513_285_509_410_169_209_427,55266
14,208_339_143_154_460_498_254_487_529_199_306_152_252_504_211_475_539_118_134_508_132_343,52370
15,443_315_419_503_331_182_180_289_224_497_41_437_123_453_106_174_441_435_363_199_218_510,54280
16,498_549_502_323_488_174_445_299_247_332_368_411_171_361_258_304_151_221_387_178_130_119,48042
17,191_175_345_346_235_505_385_64_388_254_467_326_451_118_484_255_252_140_507_141_434_480,49365
18,256_294_393_88_298_577_372_180_188_307_370_135_84_334_506_213_520_436_130_287_211_315,47406
19,291_149_121_513_424_507_508_235_345_222_99_205_119_43_209_323_113_478_495_61_432_178,50462
20,54_258_202_224_3_119_289_303_8_101_238_180_342_467_442_418_346_334_233_209_114_466,41212
21,249_498_270_474_334_131_467_192_519_432_119_217_508_291_149_447_250_79_226_109_445_203,56578
22,73_484_396_363_84_330_236_133_471_326_423_382_435_357_256_487_94_304_178_387_513_253,52426
23,387_495_480_245_444_339_255_508_186_55_216_407_345_224_247_188_212_341_355_239_486_385,46623
24,390_345_84_93_148_108_577_319_432_389_423_531_326_459_438_234_378_475_369_429_294_191,52375
25,561_235_225_562_96_253_120_304_407_507_279_545_339_64_342_212_209_192_176_404_307_73,54051
26,469_411_520_529_136_467_517_377_570_382_402_28_471_145_131_334_140_478_240_198_224_312,57781
27,186_226_72_387_132_435_478_307_63_225_415_332_388_432_319_517_129_92_140_188_371_251,43378
28,229_495_476_134_103_196_140_253_148_358_383_355_220_407_507_215_175_505_129_497_572_333,42605
29,237_484_130_143_517_438_129_384_433_141_250_215_230_319_270_217_251_478_223_506_491_170,56144
30,513_401_333_438_215_506_467_464_196_135_294_326_195_259_101_525_225_224_131_188_90_377,54231
31,202_203_385_217_152_454_508_470_307_513_402_178_233_505_466_438_423_410_212_326_64_367,53897
32,453_307_433_232_118_124_169_210_174_208_237_120_102_123_251_334_103_117_424_113_520_99,39722
33,470_507_149_331_452_492_475_85_402_216_169_384_186_477_577_376_388_374_261_171_279_170,59455
34,377_471_504_306_444_250_345_191_215_402_270_419_575_376_346_125_109_322_252_218_480_248,50959
35,423_216_398_513_221_502_340_154_223_251_441_395_362_363_361_501_519_177_102_72_444_85,47326
36,73_563_272_296_415_125_253_333_171_22_252_510_437_470_393_431_315_124_222_224_203_396,52628
37,491_172_93_388_480_299_245_287_239_131_215_207_314_490_572_418_133_562_358_84_169_211,48720
38,124_437_144_168_279_519_96_205_122_315_175_131_525_334_213_229_132_186_301_371_249_256,49559
39,134_428_550_79_64_251_118_90_390_115_43_497_58_61_305_487_436_484_424_259_464_172,53716
40,443_224_236_154_92_191_391_140_291_575_226_486_235_124_447_519_289_182_313_396_378_498,52302
41,447_435_341_97_374_444_311_240_433_172_498_443_306_115_366_470_252_410_305_479_357_503,46031
42,99_512_362_148_368_215_8_436_217_236_220_312_497_529_367_133_415_395_365_113_66_254,48709
43,248_232_427_169_437_315_446_272_301_377_261_366_215_238_495_170_217_313_109_355_293_422,40087
44,308_85_3_382_233_217_435_138_186_90_358_125_84_534_66_490_333_176_402_210_108_282,48977
45,28_495_318_509_319_539_84_497_503_177_505_536_250_391_561_464_144_231_398_66_431_387,56842
46,491_486_442_138_529_291_363_502_151_145_251_436_152_118_117_216_286_312_88_299_90_72,49690
47,484_240_8_438_389_61_186_258_502_428_213_55_418_298_171_136_108_215_174_278_239_534,55348
48,96_382_490_398_261_99_211_452_151_444_428_113_168_295_282_55_106_134_188_572_218_73,50568
49,196_407_116_235_90_205_453_118_340_475_158_185_207_428_175_476_278_429_255_199_318_434,45453
50,203_442_488_261_474_355_438_396_217_466_366_561_229_109_311_512_138_202_215_372_208_339,52539
